id_pedido,fecha,id_cliente,id_producto,categoria,region,segmento,cantidad,precio_unit,descuento,ratio_costo
1001,2023-11-24,202,2480,Alimentos,Sur,Retail,13,162.76,0.25,0.482
1002,2023-02-27,535,2415,Ropa,Norte,Corporativo,1,,0.05,0.634
1003,2023-01-13,370,2220,Electrónica,Centro,Mayorista,3,257.89,0.05,0.695
1004,2023-05-21,206,2212,Alimentos,Norte,Corporativo,8,196.97,0.25,0.482
1005,2023-05-06,171,2340,Ropa,Centro,Corporativo,18,83.99,0.0,0.466
1006,2023-04-25,120,2423,Electrónica,Norte,Online,16,444.83,0.05,0.404
1007,2023-03-13,714,2406,Deportes,Centro,Online,16,495.41,0.05,0.544
1008,2023-02-22,221,2055,Ropa,Oeste,Mayorista,2,286.45,0.0,0.715
1009,2023-12-13,566,2389,Electrónica,Sur,Retail,17,388.47,0.0,0.716
1010,2023-10-07,314,2341,Libros,Centro,Retail,10,430.22,0.0,0.445
1011,2023-02-14,430,2433,Hogar,Oeste,Corporativo,7,351.99,0.15,0.472
1012,2023-10-30,558,2101,Libros,Este,Retail,10,26.86,0.0,0.543
1013,2023-08-05,187,2420,Electrónica,Norte,Online,19,83.03,0.0,0.673
1014,2023-01-17,472,2492,Alimentos,Este,Mayorista,9,40.14,0.0,0.614
1015,2023-01-16,199,2191,Belleza,Oeste,Mayorista,17,9.89,0.25,0.58
1016,2023-02-17,763,2498,Belleza,Este,Online,9,156.47,0.2,0.607
1017,2023-04-22,230,2309,Belleza,Este,Mayorista,9,199.22,0.25,0.434
1018,2023-04-30,761,2199,Alimentos,Oeste,Corporativo,5,,0.2,0.567
1019,2023-09-16,408,2232,Ropa,Sur,Mayorista,7,36.98,0.15,0.747
1020,2023-11-05,443,2432,Belleza,Centro,Retail,11,267.28,0.15,0.431
1021,2023-01-14,591,2226,Libros,Norte,Mayorista,8,140.29,0.05,0.582
1022,2023-10-15,513,2370,Alimentos,Centro,Mayorista,14,399.04,0.25,0.503
1023,2023-04-12,485,2138,Alimentos,Norte,Online,2,8.99,0.2,0.589
1024,2023-11-29,291,2343,Belleza,Centro,Online,10,422.05,0.15,0.601
1025,2023-12-26,376,2304,Libros,Este,Retail,16,477.6,0.15,0.602
1026,2023-10-07,260,2148,Deportes,Sur,Online,16,359.49,0.25,0.698
1027,2023-08-03,559,2114,Alimentos,Este,Retail,19,368.15,0.05,0.536
1028,2023-04-23,413,2449,Belleza,Sur,Corporativo,11,467.11,0.0,0.581
1029,2023-08-18,121,2062,Hogar,Oeste,Retail,6,108.49,0.1,0.404
1030,2023-10-29,352,2103,Electrónica,Norte,Mayorista,6,497.31,0.05,0.676
1031,2023-05-23,660,2338,Ropa,Norte,Retail,7,387.87,0.1,0.491
1032,2023-01-04,574,2358,Alimentos,Oeste,Corporativo,16,364.65,0.05,0.686
1033,2023-03-23,158,2155,Hogar,Centro,Mayorista,13,183.74,0.05,0.493
1034,2023-12-24,610,2272,Hogar,Oeste,Retail,3,275.16,0.0,0.404
1035,2023-08-05,781,2005,Alimentos,Oeste,Online,9,328.69,0.15,0.454
1036,2023-06-24,575,2146,Deportes,Sur,Online,3,,0.2,0.745
1037,2023-05-23,799,2183,Electrónica,Oeste,Online,6,353.97,0.05,0.512
1038,2023-03-21,289,2485,Ropa,Norte,Retail,17,45.78,0.0,0.438
1039,2023-04-21,786,2027,Alimentos,Este,Retail,3,181.05,0.1,0.442
1040,2023-06-22,662,2449,Ropa,Sur,Corporativo,2,219.83,0.25,0.509
1041,2023-02-22,666,2037,Libros,Sur,Mayorista,12,134.01,0.25,0.413
1042,2023-02-17,343,2118,Hogar,Centro,Mayorista,6,90.45,0.15,0.579
1043,2023-07-14,604,2292,Hogar,Este,Mayorista,10,73.77,0.25,0.475
1044,2023-02-19,230,2370,Alimentos,Sur,Mayorista,11,186.36,0.05,0.582
1045,2023-07-03,584,2243,Alimentos,Oeste,Retail,16,249.25,0.1,0.449
1046,2023-06-26,746,2067,Libros,Sur,Retail,16,36.17,0.05,0.55
1047,2023-11-06,120,2213,Deportes,Sur,Corporativo,18,473.5,0.25,0.609
1048,2023-05-16,266,2217,Alimentos,Sur,Mayorista,9,383.8,0.2,0.422
1049,2023-01-23,373,2176,Hogar,Centro,Retail,19,366.77,0.25,0.54
1050,2023-08-24,487,2298,Ropa,Sur,Retail,2,90.57,0.2,0.506
1051,2023-10-02,700,2163,Electrónica,Sur,Retail,1,303.88,0.25,0.484
1052,2023-03-05,415,2057,Belleza,Centro,Retail,16,267.21,0.15,0.612
1053,2023-07-13,113,2268,Ropa,Este,Mayorista,18,491.32,0.1,0.606
1054,2023-02-10,341,2307,Deportes,Norte,Mayorista,3,375.1,0.2,0.621
1055,2023-10-10,445,2057,Electrónica,Centro,Retail,1,290.0,0.0,0.456
1056,2023-05-31,664,2287,Ropa,Centro,Online,6,426.15,0.15,0.5
1057,2023-11-18,439,2464,Ropa,Sur,Corporativo,19,81.77,0.05,0.473
1058,2023-11-13,191,2104,Libros,Sur,Mayorista,19,12.53,0.25,0.589
1059,2023-07-05,466,2227,Belleza,Norte,Mayorista,11,346.67,0.1,0.561
1060,2023-10-23,554,2246,Deportes,Sur,Online,8,53.66,0.1,0.516
1061,2023-04-09,527,2187,Hogar,Oeste,Mayorista,5,62.14,0.25,0.675
1062,2023-12-27,608,2493,Libros,Sur,Online,9,373.62,0.0,0.433
1063,2023-02-05,134,2082,Electrónica,Sur,Online,15,138.91,0.2,0.741
1064,2023-01-24,305,2185,Belleza,Oeste,Retail,14,316.17,0.25,0.441
1065,2023-12-05,180,2251,Hogar,Norte,Mayorista,4,459.12,0.1,0.671
1066,2023-04-27,661,2354,Libros,Oeste,Corporativo,8,161.65,0.0,0.529
1067,2023-05-29,487,2237,Belleza,Centro,Online,17,112.49,0.0,0.703
1068,2023-02-10,101,2359,Deportes,Oeste,Corporativo,2,57.75,0.05,0.426
1069,2023-04-30,489,2183,Alimentos,Este,Retail,16,69.58,0.0,0.531
1070,2023-02-21,665,2283,Alimentos,Centro,Mayorista,10,35.8,0.15,0.517
1071,2023-07-14,205,2384,Electrónica,Sur,Retail,2,48.38,0.1,0.748
1072,2023-05-23,576,2425,Alimentos,Centro,Retail,11,218.84,0.15,0.745
1073,2023-08-21,501,2209,Libros,Norte,Corporativo,10,163.83,0.0,0.466
1074,2023-11-22,655,2303,Electrónica,Norte,Corporativo,19,354.75,0.0,0.62
1075,2023-07-06,261,2295,Hogar,Oeste,Online,14,435.77,0.15,0.587
1076,2023-03-25,301,2096,Deportes,Centro,Mayorista,11,393.46,0.05,0.454
1077,2023-07-09,369,2446,Electrónica,Sur,Retail,9,267.67,0.0,0.459
1078,2023-07-01,370,2459,Hogar,Norte,Online,7,55.71,0.15,0.746
1079,2023-04-18,555,2455,Electrónica,Sur,Online,15,356.33,0.15,0.558
1080,2023-12-10,561,2471,Ropa,Este,Retail,17,184.6,0.1,0.444
1081,2023-05-17,351,2207,Ropa,Norte,Retail,3,47.4,0.05,0.475
1082,2023-12-26,395,2369,Electrónica,Oeste,Online,15,422.02,0.2,0.494
1083,2023-12-16,437,2387,Belleza,Este,Retail,14,172.42,0.15,0.579
1084,2023-11-28,152,2421,Alimentos,Centro,Retail,8,113.03,0.1,0.517
1085,2023-02-06,316,2491,Ropa,Sur,Corporativo,4,436.37,0.2,0.559
1086,2023-11-08,287,2410,Belleza,Norte,Mayorista,10,451.56,0.1,0.458
1087,2023-11-22,479,2136,Belleza,Este,Online,2,172.79,0.1,0.514
1088,2023-03-29,592,2366,Deportes,Este,Retail,14,180.63,0.25,0.425
1089,2023-10-01,140,2399,Hogar,Norte,Online,8,291.92,0.05,0.711
1090,2023-05-06,256,2183,Libros,Centro,Mayorista,10,368.05,0.0,0.47
1091,2023-03-25,114,2075,Ropa,Centro,Online,18,36.26,0.05,0.665
1092,2023-08-25,164,2286,Electrónica,Oeste,Online,15,298.71,0.2,0.522
1093,2023-07-14,620,2471,Alimentos,Centro,Online,5,476.65,0.25,0.566
1094,2023-05-19,443,2374,Libros,Oeste,Corporativo,13,134.74,0.05,0.502
1095,2023-11-24,228,2141,Hogar,Este,Mayorista,18,454.87,0.0,0.644
1096,2023-12-19,747,2236,Belleza,Norte,Mayorista,2,,0.05,0.696
1097,2023-10-13,571,2024,Hogar,Centro,Online,13,138.23,0.05,0.5
1098,2023-04-23,162,2289,Ropa,Oeste,Online,14,378.33,0.05,0.485
1099,2023-12-17,238,2066,Hogar,Este,Mayorista,10,123.19,0.15,0.639
1100,2023-06-16,598,2249,Hogar,Centro,Retail,4,370.12,0.15,0.468
1101,2023-01-29,692,2407,Alimentos,Sur,Corporativo,15,399.72,0.05,0.624
