id_pedido,fecha,anio,mes,trimestre,id_cliente,id_producto,categoria,region,segmento,cantidad,precio_unit,descuento,ratio_costo,ingreso,costo,ganancia,margen,tasa_impuesto,ganancia_neta,margen_neto,nivel_pedido,es_atipico
1001,2023-11-24,2023,11,4,202,2480,Alimentos,Sur,Retail,13,162.76,0.25,0.482,1586.91,764.89,822.02,0.518,0.19,665.84,0.4196,Premium,0
1002,2023-02-27,2023,2,1,535,2415,Ropa,Norte,Corporativo,1,258.345,0.05,0.634,245.43,155.6,89.83,0.366,0.19,72.76,0.2965,Alto,0
1003,2023-01-13,2023,1,1,370,2220,Electrónica,Centro,Mayorista,3,257.89,0.05,0.695,734.99,510.82,224.17,0.305,0.19,181.58,0.2471,Alto,0
1004,2023-05-21,2023,5,2,206,2212,Alimentos,Norte,Corporativo,8,196.97,0.25,0.482,1181.82,569.64,612.18,0.518,0.19,495.87,0.4196,Premium,0
1005,2023-05-06,2023,5,2,171,2340,Ropa,Centro,Corporativo,18,83.99,0.0,0.466,1511.82,704.51,807.31,0.534,0.19,653.92,0.4325,Premium,0
1006,2023-04-25,2023,4,2,120,2423,Electrónica,Norte,Online,16,444.83,0.05,0.404,6761.42,2731.61,4029.81,0.596,0.19,3264.15,0.4828,Premium,0
1007,2023-03-13,2023,3,1,714,2406,Deportes,Centro,Online,16,495.41,0.05,0.544,7530.23,4096.45,3433.78,0.456,0.19,2781.36,0.3694,Premium,1
1008,2023-02-22,2023,2,1,221,2055,Ropa,Oeste,Mayorista,2,286.45,0.0,0.715,572.9,409.62,163.28,0.285,0.18,133.89,0.2337,Alto,0
1009,2023-12-13,2023,12,4,566,2389,Electrónica,Sur,Retail,17,388.47,0.0,0.716,6603.99,4728.46,1875.53,0.284,0.19,1519.18,0.23,Premium,0
1010,2023-10-07,2023,10,4,314,2341,Libros,Centro,Retail,10,430.22,0.0,0.445,4302.2,1914.48,2387.72,0.555,0.19,1934.05,0.4495,Premium,0
1011,2023-02-14,2023,2,1,430,2433,Hogar,Oeste,Corporativo,7,351.99,0.15,0.472,2094.34,988.53,1105.81,0.528,0.18,906.76,0.433,Premium,0
1012,2023-10-30,2023,10,4,558,2101,Libros,Este,Retail,10,26.86,0.0,0.543,268.6,145.85,122.75,0.457,0.21,96.97,0.361,Alto,0
1013,2023-08-05,2023,8,3,187,2420,Electrónica,Norte,Online,19,83.03,0.0,0.673,1577.57,1061.7,515.87,0.327,0.19,417.85,0.2649,Premium,0
1014,2023-01-17,2023,1,1,472,2492,Alimentos,Este,Mayorista,9,40.14,0.0,0.614,361.26,221.81,139.45,0.386,0.21,110.17,0.305,Alto,0
